sundanese:0 "Sundanese"
msa_advanced_galley_warfare:0 "Advanced Galley Warfare"
msa_expert_haggling:0 "Expert Hagglers"
msa_chart_the_seas:0 "Chart the Isles"
msa_in_every_port:0 "Malay Merchants in Every Port"
msa_sea_nomads_steering:0 "Agreements with the Sea Nomads"
msa_spice_kings:0 "Spice Kings"
SIA_ideas:0 "Siamese Ideas"
sia_royal_poets:0 "Royal Poets"
sia_advanced_elephant_warfare:0 "Advanced Elephant Warfare"
sia_experienced_ambassadors:0 "Experienced Ambassadors"
sia_encourage_immigration:0 "Encourage Immigration"
sia_integrating_the_realm:0 "Consolidation of the State"
sia_education_reform:0 "Education Reforms"
sia_royal_absolutism:0 "Royal Absolutism"
LFA_ideas:0 "Lanfang Ideas"
lfa_free_elections:0 "Free Elections"
lfa_mining_syndicates:0 "Mining Syndicates"
lfa_careful_diplomacy:0 "Careful Diplomacy"
lfa_national_militia:0 "National Militia"
lfa_integrate_local_communities:0 "Integrate Local Communities"
lfa_improved_mining_techniques:0 "Improved Mining Techniques"
lfa_state_expansion:0 "Expansion of the State"
LIG_ideas:0 "Ligori Ideas"
lig_autonomous_subject:0 "Autonomous Subject"
lig_religious_conversion:0 "Buddhist Conversion"
lig_vassal_cities:0 "Vassal Cities"
lig_trade_primacy:0 "Trade Primacy"
lig_bridge_to_malaya:0 "Bridge to Siam"
lig_spirit_of_rebellion:0 "Rebellious Spirits"
lig_trade_protection:0 "Protect Ligori Trade"
PLB_ideas:0 "Palembang Ideas"
plb_ancient_scriptures:0 "Ancient Scriptures"
plb_pirate_ancestry:0 "Pirate Ancestry"
plb_controlling_the_strait:0 "Controlling the Strait"
plb_center_of_the_dynasty:0 "Center of the Dynasty"
plb_trading_hub:0 "Trading Hub"
plb_through_the_monsoon:0 "Through the Monsoon"
plb_learned_scholars:0 "Learned Scholars"
BAN_ideas:0 "Banteni Ideas"
ban_struck_down_by_diamonds:0 "Struck Down by Diamonds"
ban_surrounded_by_stars:0 "Surrounded by Stars"
ban_from_east_to_west:0 "From East to West"
ban_rebuttal:0 "Rebuttal"
ban_fertile_lands:0 "Fertile Lands"
ban_by_the_river:0 "By the River"
ban_cultural_richness:0 "Cultural Richness"
SUL_ideas:0 "Sulu Ideas"
sul_sultanate_of_sulu:0 "Sultanate of Sulu"
sul_makhdum_teachings:0 "Makhdum's Teachings"
sul_across_the_sulu_sea:0 "Across the Sulu Sea"
sul_port_of_jolo:0 "Port of Jolo"
sul_dagat_sulu:0 "Dagat Sulu"
sul_coconut_plantations:0 "Coconut Plantations"
sul_pearl_farming:0 "Pearl Farming"
CRB_ideas:0 "Cirebonese Ideas"
crb_negara_gede:0 "Negara Gede"
crb_tari_topeng:0 "Tari Topeng"
crb_alis_panther:0 "Ali's Panther"
crb_mount_ciremai:0 "Mount Ciremai"
crb_islamic_schools:0 "Islamic Schools"
crb_batik_textiles:0 "Batik Textiles"
crb_royal_lineage:0 "Royal Lineage"
DNZ_ideas:0 "Danziger Ideas"
danzig_law:0 "Danzig Law"
vistula_river_trade:0 "Vistula River Trade"
centralized_population:0 "Centralized Population"
hanseatic_league_member:0 "Hanseatic League Member"
danziger_shipyard:0 "Danziger Shipyards"
continued_independence:0 "Continued Independence"
lutheran_change:0 "Lutheran Change"
KRA_ideas:0 "Krakowian Ideas"
kra_legendary_legacy:0 "Legendary Legacy"
kra_seat_of_gov:0 "Seat of Government"
kra_city_rights:0 "City Rights"
kra_cas_forts:0 "Casimirian Fortifications"
kra_jewish_community:0 "Jewish Communities"
kra_polish_athens:0 "Polish Athens"
kra_free_city:0 "The Free City"
SIL_ideas:0 "Silesian Ideas"
under_the_infuence:0 "Under the Influence"
silesian_duchies:0 "Silesian Duchies"
german_settlers:0 "German Settlers"
raubritter:0 "Raubritter"
via_regia:0 "Via Regia"
hanseatic_ties:0 "Hanseatic Ties"
black_gold:0 "Black Gold"
FEO_ideas:0 "Theodoro Ideas"
principate_guard:0 "Principate Guards"
komnin_paleolog_gavras:0 "Komnenoi, Palaiologoi and Gavras"
aristocracy_in_moskovia:0 "Russian Aristocracy"
avlita_port:0 "Port Avlita"
mangup_kalamita:0 "Mangup and Kalamita Forts"
turms:0 "Turms"
cave_monasteries:0 "Cave Monasteries"
PSK_ideas:0 "Pskovian Ideas"
veche_of_pskov:0 "Veche of Pskov"
legacy_of_daumantas:0 "Legacy of Daumantas"
balt_mercenaries:0 "Balt Mercenaries"
pskov_charter:0 "Pskov Charter"
psk_knights_guard:0 "The Knights Guard"
arts_and_crafts_of_pskov:0 "Arts and Crafts of Pskov"
pskov_before_all_others:0 "Pskov Before All Others"
SMO_ideas:0 "Smolenskian Ideas"
smolenskian_resolve:0 "Smolenskian Resolve"
armories_of_smolensk:0 "The Armories of Smolensk"
smo_western_mercenaries:0 "Western Mercenaries"
the_great_foundry:0 "The Great Foundry"
smo_hold_the_line:0 "Hold The Line"
artillery_before_all:0 "Artillery Before All"
tsar_mortars:0 "Tsar Mortars"
YAR_ideas:0 "Yaroslavlyian Ideas"
between_hammer_and_avil:0 "Between Hammer and Anvil"
third_option:0 "Third Option"
reform_boyars:0 "Reform Boyars"
siberian_mercenaries:0 "Siberian Mercenaries"
cult_of_generals:0 "Cult of Generals"
yar_two_towers:0 "The Two Towers"
yar_russian_ambition:0 "Russian Ambition"
TVE_ideas:0 "Tverian Ideas"
tverian_merchants:0 "Tverian Merchants"
defend_against_muscowy:0 "Defend Against Muscovy"
patriarch_of_tver:0 "Patriarch of Tver"
tverian_architects:0 "Tverian Architects"
cloth_business:0 "Cloth Business"
tverian_tercio:0 "Tverian Tercio"
tve_national_army:0 "National Army"
RYA_ideas:0 "Ryazan Ideas"
arsenal_of_ryazan:0 "The Arsenal of Ryazan"
tatar_mercenaries:0 "Tatar Mercenaries"
rya_land_charters:0 "Land Charters"
rya_russian_grain:0 "Russian Grain"
march_of_russia:0 "March of Russia"
russian_ambition:0 "Russian Ambition"
western_contacts:0 "Western Contacts"
KBO_ideas:0 "Kanem Bornuan Ideas"
land_of_ngazargamu:0 "Land of Ngazargamu"
sayfawad_dynasty:0 "Sayfawa Dynasty"
alumas_reforms:0 "Aluma's Reforms"
house_of_kanem:0 "House of Kanem"
fixed_military_camps:0 "Fixed Military Camps"
clan_head_council:0 "The Council of Clan Heads"
duties_on_sahara_trade:0 "Duties on Sahara Trade"
ruthenian_ideas:0 "Ruthenian Ideas"
mother_of_russian_cities:0 "The Mother of Russian States"
international_influences:0 "Foreign Influences"
zaporizhian_cossacs:0 "Zaporozhian Cossacks"
east_and_west:0 "East and West"
legacy_of_ancient_rus:0 "Heritage of the Old Rus'"
reuniting_rus:0 "Reuniting Rus'"
birth_of_russian_orthodoxy:0 "Birth of Russian Orthodoxy"
GEO_ideas:0 "Georgian Ideas"
bagrationi_dynasty:0 "Bagrationi Dynasty"
georgian_isolation:0 "Georgian Isolation"
restoration_of_fortresses_and_churches:0 "Restoration of Fortresses and Churches"
sadrosho_districts:0 "Sadrosho Districts"
georgian_embassies:0 "Georgian Embassies"
sumatran_ideas:0 "Sumatran Ideas"
reliance_on_trade:0 "Reliance on Trade"
porch_of_mecca:0 "Porch of Mecca"
spice_pirates:0 "Spice Pirates"
center_of_scholarship:0 "Center of Scholarship"
merchants_of_the_indian_ocean:0 "Merchants of The Indian Ocean"
legacy_of_srivijaya:0 "Legacy of Srivijaya"
rule_of_the_sea:0 "Rule of The Sea"
AFG_ideas:0 "Afghan Ideas"
pashtunwali:0 "Pashtunwali"
shadows_of_the_hindu_kush:0 "Shadows of the Hindu Kush"
tureh:0 "Tureh"
afghan_diaspora:0 "Afghan Diaspora"
durrani_imperialism:0 "Durrani Imperialism"
institutionalized_loya_jirga:0 "Institutionalized Loya Jirga"
graveyard_of_empires:0 "Graveyard of Empires"
WAL_ideas:0 "Wallachian Ideas"
cunning_diplomacy:0 "Cunning Diplomacy"
foreign_trade_restrictions:0 "Foreign Trade Restrictions"
mercenary_guard:0 "Mercenary Guard"
w_foreign_advisors:0 "Foreign Advisors"
legacy_of_the_impaler:0 "Legacy of the Impaler"
boyar_regime:0 "Boyar Regime"
abolition_of_serfdom:0 "Abolition of Serfdom"
maghrebi:0 "Maghrebi"
plains_algonquian:0 "Plains Algonquian"
caddoan:0 "Caddoan"
kiowa:0 "Kiowa"
haida:0 "Haida"
athabascan:0 "Athabascan"
chinook:0 "Chinook"
yokuts:0 "Yokuts"
salish:0 "Salish"
sumatran:0 "Sumatran"
javanese:0 "Javanese"
malvi:0 "Malvi"
gondi:0 "Gondi"
garjati:0 "Garjati"
jharkhandi:0 "Jharkandi"
mazandarani:0 "Mazandarani"
caucasian:0 "Caucasian"
azerbaijani:0 "Azerbaijani"
mossi:0 "Mossi"
turko_semitic:0 "Levantine"
eastern_mediterrenean_area:0 "Eastern Mediterranean"
baltic_area:0 "Baltic Sea"
red_sea_area:0 "Red Sea"
france_region:0 "France"
low_countries_region:0 "Low Countries"
italy_region:0 "Italy"
iberia_region:0 "Iberia"
british_isles_region:0 "Britain"
canada_region:0 "Canada"
great_lakes_region:0 "Great Lakes"
northeast_america_region:0 "Northeast"
california_region:0 "California"
hudson_bay_region:0 "Hudson Bay"
mediterrenean_region:0 "Mediterranean"
north_america_superregion:0 "North America"
rio_grande_region:0 "Rio Grande"
ai_capitalist:0 "Administrator"
ai_diplomat:0 "Diplomat"
ai_militarist:0 "Militarist"
AI:0 "AI"
horde_unity:0 "Horde Unity"
cossacks_reform:0 "Sich Rada"
ADA:0 "Adal"
ADE:1 "Aden"
AKK:0 "Aq Qoyunlu"
ALB:0 "Albania"
ALH:0 "Haasa"
ANH:0 "Anhalt"
ANN:0 "Annam"
ANS:0 "Ansbach"
ARA:0 "Aragon"
ARK:0 "Arakan"
ARM:0 "Armenia"
ASH:0 "Ashanti"
ASS:0 "Assam"
ATH:0 "Athens"
ATJ:0 "Aceh"
AYU:0 "Ayutthaya"
AZT:0 "Aztec"
BAD:0 "Baden"
BLI:0 "Bali"
BAN:0 "Banten"
BAL:0 "Baluchistan"
BEI:0 "Brunei"
BEN:0 "Benin"
BND:0 "Bundelkhand"
BNG:0 "Bengal"
BOH:0 "Bohemia"
BOS:0 "Bosnia"
BRA:0 "Brandenburg"
BRB:0 "Brabant"
BRE:0 "Bremen"
BRI:0 "Brittany"
BRU:0 "Brunswick"
BRZ:0 "Brazil"
BUL:0 "Bulgaria"
BUR:0 "Burgundy"
CAN:0 "Canada"
CAS:0 "Castile"
CAT:0 "Catalonia"
CEP:0 "Corfu"
CHE:0 "Cherokee"
CHG:0 "Chagatai"
CHM:0 "Chimu"
CND:0 "Candar"
CNN:0 "Clanricarde"
COR:0 "Corsica"
CRE:0 "Creek"
CRI:0 "Crimea"
CRN:0 "Cornwall"
CRO:0 "Croatia"
CYP:0 "Cyprus"
DAI:0 "Dai Viet"
DAN:0 "Denmark"
DLH:0 "Delhi"
ENG:0 "England"
ETH:0 "Ethiopia"
FER:0 "Ferrara"
FIN:0 "Finland"
FLA:0 "Flanders"
FRA:0 "France"
FRI:0 "Friesland"
GBR:0 "Great Britain"
GEL:0 "Gelre"
GEN:0 "Genoa"
GEO:0 "Georgia"
GER:0 "Germany"
GOT:0 "Gotland"
GRA:0 "Granada"
GUJ:0 "Gujarat"
HAB:0 "Austria"
HAM:0 "Hamburg"
HAN:0 "Hanover"
HAU:0 "Hausa"
HED:0 "Hejaz"
HES:0 "Hesse"
HOL:0 "Holland"
HUN:0 "Hungary"
HUR:0 "Huron"
INC:0 "Inca"
IRE:0 "Ireland"
IRO:0 "Iroquois"
ITA:0 "Italy"
JAP:0 "Japan"
KAR:0 "Karaman"
KAZ:0 "Kazan"
KBO:0 "Kanem Bornu"
KHA:0 "Mongolia"
KHI:0 "Khiva"
KHM:0 "Khmer"
KLE:0 "Cleves"
KNI:0 "The Knights"
KOL:0 "Cologne"
KON:0 "Kongo"
KOR:0 "Korea"
KUR:0 "Kurland"
LAN:0 "Florence"
LEI:0 "Leinster"
LIE:0 "Liege"
LIT:0 "Lithuania"
LNA:0 "Lan Na"
LOA:0 "Loango"
LOR:0 "Lorraine"
LUN:0 "Lüneburg"
LUX:0 "Luxembourg"
LXA:0 "Lan Xang"
MAI:0 "Mainz"
MAL:0 "Mali"
MAM:0 "Mamluks"
MAN:0 "Mantua"
MAZ:0 "Mazovia"
MCH:0 "Manchu"
MEX:0 "Mexico"
MLC:0 "Malacca"
MLO:0 "Milan"
MLW:0 "Malwa"
MNG:0 "Ming"
MNS:0 "Thomond"
MOL:0 "Moldavia"
MON:0 "Montenegro"
MOR:0 "Morocco"
MOS:0 "Muscovy"
MUG:0 "Mughals"
MUN:0 "Münster"
MYS:0 "Mysore"
NAJ:0 "Najd"
NAV:0 "Navarra"
NAX:0 "Naxos"
NED:0 "Netherlands"
NEV:0 "Nevers"
NOL:0 "Northumberland"
NOR:0 "Norway"
NOV:0 "Novgorod"
NPL:0 "Nepal"
NRM:0 "Normandy"
OIR:0 "Oirat"
OMA:0 "Oman"
ORI:0 "Orissa"
ORL:0 "Orleans"
OYO:0 "Oyo"
PAL:0 "The Palatinate"
PAP:0 "The Papal State"
PAT:0 "Pattani"
PEG:0 "Pegu"
PER:0 "Persia"
PIS:0 "Pisa"
POL:0 "Poland"
POM:0 "Pomerania"
POR:0 "Portugal"
PRO:0 "Provence"
PRU:0 "Prussia"
PSK:0 "Pskov"
PUN:0 "Punjab"
QAR:0 "Qara Qoyunlu"
QUE:0 "Quebec"
RAG:0 "Ragusa"
RIG:0 "Riga"
RUS:0 "Russia"
RYA:0 "Ryazan"
RYU:0 "Ryukyu"
SAR:0 "Sardinia"
SAV:0 "Savoy"
SAX:0 "Saxony"
SCO:0 "Scotland"
SER:0 "Serbia"
SHA:0 "Shawnee"
SHL:0 "Holstein"
SIC:0 "Sicily"
SIE:0 "Siena"
SIL:0 "Silesia"
SND:1 "Sindh"
SON:0 "Songhai"
SPA:0 "Spain"
STY:0 "Styria"
SUL:0 "Sulu"
SWE:0 "Sweden"
SWI:0 "Switzerland"
TAU:0 "Taungu"
TEU:0 "Teutonic Order"
THU:0 "Thuringia"
TIB:0 "Tibet"
TIM:0 "Timurids"
TOK:0 "Tonkin"
TRA:0 "Transylvania"
TRE:0 "Trebizond"
TRI:0 "Trier"
TUN:0 "Tunis"
TUR:0 "Ottomans"
TUS:0 "Tuscany"
TVE:0 "Tver"
TYR:0 "Tyrone"
UKR:0 "Ruthenia"
URB:0 "Urbino"
USA:1 "United States"
UTR:0 "Utrecht"
WAL:0 "Wallachia"
WBG:0 "Wurzburg"
VEN:0 "Venice"
VIJ:0 "Vijayanagar"
WLS:0 "Wales"
WUR:0 "Wurttemberg"
YAR:0 "Yaroslavl"
ZAZ:0 "Zaporozhie"
ZIM:0 "Mutapa"
AMA:0 "Amago"
ASA:0 "Asakura"
CSK:0 "Chosokabe"
DTE:0 "Date"
HJO:0 "Hojo"
HSK:0 "Hosokawa"
HTK:0 "Hatakeyama"
IMG:0 "Imagawa"
MRI:0 "Mori"
ODA:0 "Oda"
OTM:0 "Otomo"
OUC:0 "Ouchi"
SBA:0 "Shiba"
SMZ:0 "Shimazu"
TKD:0 "Takeda"
TKG:0 "Tokugawa"
UES:0 "Uesugi"
YMN:0 "Yamana"
JNP:0 "Jaunpur"
MER:0 "Mewar"
GWA:0 "Gwalior"
DHU:0 "Dhundhar"
KAC:0 "Kachar"
KMT:0 "Koch"
KGR:0 "Kangra"
BAH:0 "Bahmanis"
NAG:0 "Nagpur"
BDA:0 "Baroda"
MAR:0 "Marathas"
DEC:0 "Deccan"
CSH:0 "Shun"
JOL:0 "Jolof"
PLC:0 "Commonwealth"
PRM:0 "Perm"
CEY:1 "Kotte"
AFG:0 "Afghanistan"
QNG:0 "Qing"
CHI:0 "Chickasaw"
ILL:0 "Illiniwek"
POT:0 "Potawatomi"
PUE:0 "Pueblo"
SIO:0 "Sioux"
ZAN:0 "Kilwa"
AJU:0 "Ajuuraan"
MDI:0 "Mogadishu"
BUK:0 "Bukhara"
BGA:0 "Baglana"
BGL:1 "Baghelkhand"
GHR:0 "Garhwal"
JAJ:0 "Habsan"
LDK:0 "Ladakh"
MLB:0 "Manipur"
SDY:0 "Sadiya"
TPR:0 "Tripura"
TRT:0 "Tirhut"
CIR:0 "Circassia"
IME:0 "Imereti"
MYR:1 "Xibe"
MHX:0 "Haixi"
ZUN:1 "Dzungar"
KAS:0 "Yarkand"
AIR:0 "Air"
KTS:0 "Katsina"
KAN:0 "Kano"
DAH:0 "Dahomey"
ZZZ:0 "Zazzau"
LIG:0 "Ligor"
AVA:0 "Ava"
FEO:0 "Theodoro"
KIE:0 "Kiev"
CHR:0 "Chernigov"
KIC:0 "Kiche"
TAR:0 "Tarascan"
CRB:0 "Cirebon"
PGR:0 "Pagarruyung"
PLB:0 "Palembang"
PSA:0 "Pasai"
SUN:0 "Sunda"
MJZ:0 "Jianzhou"
SRV:0 "Shirvan"
CGS:0 "Changsheng"
CAB:0 "Carib"
LON:0 "León"
NUM:0 "Nuremberg"
AUS:0 "Australia"
BTI:0 "Semien"
MTH:0 "Meath"
ADU:0 "Andalusia"
VER:0 "Verden"
RVA:1 "Dortmund"
MFA:0 "Montferrat"
LUC:0 "Lucca"
LVA:0 "Livonia"
EST:0 "Estonia"
SMI:0 "Sápmi"
ORM:0 "Hormuz"
KRL:0 "Karelia"
KUB:0 "Kuba"
LND:0 "Lunda"
LUB:0 "Luba"
MRA:0 "Maravi"
TBK:0 "Tumbuka"
RZW:0 "Butua"
MIR:0 "Imerina"
ANT:0 "Antemoro"
BTS:0 "Betsimisaraka"
ULS:0 "Ulster"
DMS:0 "Desmond"
ORD:0 "Ormond"
KID:0 "Kildare"
MCM:0 "Munster"
FLY:0 "Offaly"
TRY:0 "Tyrconnell"
SLN:0 "Sligo"
OKA:0 "Odoyev"
ICE:0 "Iceland"
SLO:0 "Nitra"
ROM:0 "Roman Empire"
DTT:0 "Dithmarschen"
GLH:0 "Golden Horde"
AKT:0 "Ando"
CBA:0 "Chiba"
ISK:0 "Isshiki"
ITO:0 "Ito"
KKC:0 "Kikuchi"
KNO:0 "Kono"
OGS:0 "Ogasawara"
SHN:0 "Shoni"
STK:0 "Satake"
TKI:0 "Toki"
UTN:0 "Utsunomiya"
TTI:0 "Tsutsui"
ASK:0 "Ashikaga"
MVA:0 "Moravia"
YUA:0 "Yuan"
BLO:0 "Beloozero"
RSO:0 "Rostov"
MHR:0 "Mahra"
HDR:0 "Hadramut"
MDA:0 "Medina"
RAS:1 "Rassids"
YEM:0 "Yemen"
HSN:0 "Hisn Kayfa"
MLK:0 "Karabakh"
SME:0 "Samtskhe"
ARL:0 "Ardabil"
MSY:0 "Mushasha"
RUM:0 "Rûm"
LRI:0 "Luristan"
SIS:0 "Sistan"
FRS:0 "Fars"
QOM:0 "Ajam"
TRS:0 "Transoxiana"
MAS:0 "Madyas"
PGS:0 "Pangasinan"
TDO:0 "Tondo"
MNA:0 "Maynila"
CEB:0 "Cebu"
BTU:0 "Butuan"
KTB:0 "Kitabatake"
KOI:0 "Mann"
BPR:0 "Prome"
PAN:0 "Kalinjar"
KND:0 "Kandy"
RJP:0 "Rajputana"
ILK:0 "Ilkhanate"
VAL:0 "Valencia"
ASU:0 "Asturias"
SLE:0 "Salé"
TET:0 "Tétouan"
MJO:0 "Majorca"
GAM:0 "Guamar"
CCM:0 "Chichimeca"
KER:1 "Zia"
ZNI:0 "Zuni"
TEX:0 "Texas"
NSS:0 "New Providence"
PRY:0 "Port Royal"
LIB:0 "Libertatia"
TOR:0 "Tortuga"
cushitic:0 "Cushitic"
tigray:0 "Tigray"
chipewyan:0 "Chipewyan"
bornean:0 "Bornean"
harari:0 "Harari"
afar:0 "Afar"
beja:0 "Beja"
apachean:0 "Apachean"
area:0 "area"
is_great_power:0 "Great Power"
lessons_hundred_years_war:0 "Lessons of the Hundred Years War"
europes_first_standing_army:0 "Europe's First Standing Army"
divine_right_to_rule:0 "Divine Right"
FRA_ideas_2:0 "Revolutionary French Ideas"
revolutionary_tribunal:1 "Equality Before the Law"
mandats_territoriaux:1 "Franc Germinal"
jourdan_law:0 "Jourdan Law"
napoleonic_tactics:0 "Napoleonic Tactics"
european_ambitions:0 "European Ambitions"
eunuchs_loyalty_modifier:0 "Eunuchs Loyalty Equilibrium"
janissaries_loyalty_modifier:0 "Janissary Loyalty Equilibrium"
default:0 "default"
AVE:0 "Angevin Kingdom"
EIC:0 "East India Company"
byelorussian_new:0 "Byelorussian"
ruthenian_new:0 "Ruthenian"
fearless_seamen:0 "Fearless Seamen"
shipbuiling_experts:0 "Shipbuilding Experts"
basque_ferocity:0 "Basque Ferocity"
camara_de_comptos:0 "Cámara de Comptos"
people_of_the_sea:0 "People of the Sea"
an_industrious_folk:0 "An Industrious Folk"
JMN:0 "Jan Mayen"
TTS:0 "Two Sicilies"
prussian_republic_reform:0 "Stratocratic Administration"
ans_fayencemanufaktur:0 "Ansbacher Fayencemanufaktur"
BYT_ideas:0 "Bayreuther Ideas"
byt_land_of_the_hohenzollerns:0 "Hohenzollern Margrave"
byt_ordre_de_la_sincerite:0 "Ordre de la Sincérité"
byt_gravenreuther_stift:0 "Gravenreuther Stift"
byt_margravial_opera_house:0 "Margravial Opera House"
NUM_ideas:0 "Nuremberger Ideas"
num_imperial_regalia:0 "Imperial Regalia"
num_nuremberg_castle:0 "Nuremberg Castle"
num_nuremberg_chronicle:0 "Nuremberg Chronicle"
num_rostbratwurst:0 "Rostbratwurst"
num_franconian_center_of_reformation:0 "Franconian Centre of Reformation"
num_christkindlmarkt:0 "Christkindlesmarkt"
num_nuremberg_exchange:0 "Nuremberg Exchange"
BAM_ideas:0 "Bamberger Ideas"
bam_bishop_of_bamberg:0 "Bishop of Bamberg"
bam_cathedral:0 "Bamberg Cathedral"
bam_city_of_beer:0 "City of Beer"
bam_little_venice:0 "Little Venice"
bam_witch_burner:0 "Witch Burner"
bam_vierzehnheiligen:0 "Vierzehnheiligen"
bam_university:0 "Universitas Ottoniano Fridericiana"
GER_ideas:0 "Imperial German Ideas"
ger_german_confederation:0 "The German Confederation"
ger_german_universities:0 "The Universities of Germany"
ger_reichsheer:0 "Reichsheer"
ger_new_hanseatics:0 "The New Hanseatic League"
ger_junkers:0 "German Junkers"
ger_reichstag:0 "Reichstag"
ger_eisen_und_kohle:0 "Eisen und Kohle"
HLR_ideas:0 "Holy Roman Ideas"
hlr_imperial_throne:0 "The Imperial Throne"
hlr_kaiserliche_armee:0 "Kaiserliche Armee"
hlr_imperial_diplomacy:0 "Imperial Diplomacy"
hlr_centralised_empire:0 "Centralized Empire"
hlr_roman_heritage:0 "Roman Heritage"
hlr_adopting_the_goosestep:0 "Adopting the Goosestep"
hlr_onwards_and_upwards:0 "Onwards and Upwards"
SPI_ideas:0 "Sardinian-Piedmontese Ideas"
spi_defensive_prowess:0 "Defensive Prowess"
spi_flexibility:0 "Diplomatic Flexibility"
spi_royal_sardinian_army:0 "Royal Sardinian Army"
spi_centralized_state:0 "Centralized State"
spi_piedmontese_manufacturing:0 "Piedmontese Manufacturing"
spi_risorgimento:0 "The Risorgimento"
EPI_ideas:0 "Epirote Ideas"
epi_pyrrhus:0 "Legacy of Pyrrhus"
epi_chronicle_of_the_toco:0 "Chronicle of the Tocco"
epi_serbs_and_albanians:0 "Albanian and Serbian Tribes"
epi_latin_knights:0 "Latin Knights"
epi_metropolis_of_knowledge:0 "Metropolis of Knowledge"
epi_trade_influences:0 "Entrepôt of the Adriatic"
epi_unity_in_strength:0 "Unity in Strength"
LOT_ideas:0 "Lotharingian Ideas"
lot_legacy_of_the_carolingians:0 "Legacy of the Carolingians"
lot_glory_of_charlemagne:0 "Glory of Charlemagne"
lot_dutch_cities:0 "Wealth of the Low Countries"
lot_carolingian_renaissance_II:0 "New Carolingian Renaissance"
lot_court_of_europe:0 "The Court of Europe"
lot_land_of_abbeys:0 "Land of Bishops"
lot_european_empire:0 "Europa Universalis Imperii"
FKN_ideas:0 "Franconian Ideas"
fkn_duchy_restored:0 "The Duchy Restored"
fkn_main_trading:0 "Trading on the Main"
fkn_rugged_land_of_fortresses:0 "A Rugged Land of Fortresses"
fkn_free_knights_of_franconia:0 "Free Imperial Knights of Franconia"
fkn_baroque:0 "A Baroque Duchy"
fkn_franconian_bourgeoisie:0 "Franconian Bourgeoisie"
SOR_ideas:0 "Lusatian Ideas"
sor_zittau_mountains:0 "Zittau Mountains"
sor_sale_of_land:0 "Sale of Land"
sor_lusatian_league:0 "Lusatian League"
sor_wittelsbach_history:0 "Wittlesbach History"
sor_lusatian_landtag:0 "Lusatian Landtag"
sor_rights_of_all_religions:0 "Rights for all Religions"
sor_political_influences:0 "Cultural Influences"
CLI_ideas:0 "Cilli Ideas"
cli_marry_your_daughters:0 "Dynastic Marriages"
cli_mercenary_captains:0 "Mercenary Captains"
cli_political_manoevring:0 "Political Maneuvering"
cli_slovenian_reformation:0 "Slovenian Reformation"
cli_border_wars:0 "Border Wars"
cli_italian_baroque:0 "Italian Baroque"
cli_standardised_slovene_language:0 "Standardized Slovenian Language"
SIC_ideas:0 "Sicilian Ideas"
sic_university_of_catania:0 "University of Catania"
sic_constitions_of_melfi:0 "Constitutions of Melfi"
sic_noble_admirals:0 "Noble Admirals"
sic_greater_sicily:0 "Greater Sicily"
sic_trade_fleet:0 "Sicilian Trade Fleets"
sic_grand_navy:0 "The Grand Navy"
sic_sicilian_silk:0 "Sicilian Silk"
WES_ideas:0 "Westphalian Ideas"
wes_jewish_rights:0 "Jewish Rights"
wes_westphalian_decentralisation:0 "Westphalian Decentralization"
wes_increased_conscription:0 "Universal Conscription"
